InsertionReason,TimeStamps,UnparsedData
129,1481031,0
129,1481034,0
1,1481469,65317
1,1481470,65280
1,1482021,65535
129,1482023,48
129,1482026,77
129,1482029,35
129,1482032,0
129,1482035,0
1,1482470,65341
1,1482471,65280
1,1483023,65535
129,1483025,49
129,1483028,77
129,1483031,35
129,1483034,0
129,1483037,0
1,1483472,65281
1,1483473,65280
1,1484024,65455
1,1484025,65535
129,1484026,50
129,1484029,77
129,1484032,35
129,1484035,0
129,1484038,0
1,1484474,65280
1,1485025,65312
1,1485026,65535
129,1485027,51
129,1485030,77
129,1485033,35
129,1485036,0
129,1485039,0
1,1485475,65280
1,1486027,65535
129,1486029,52
129,1486032,77
129,1486035,35
129,1486038,0
129,1486041,0
1,1486476,65325
1,1486477,65280
1,1487028,65312
1,1487029,65535
129,1487030,53
129,1487033,77
129,1487036,35
129,1487039,0
129,1487042,0
1,1487478,65280
1,1488030,65455
1,1488031,65535
129,1488032,54
129,1488035,77
129,1488038,35
129,1488041,0
129,1488044,0
1,1488480,65280
1,1489032,65535
129,1489034,55
129,1489037,77
129,1489040,35
129,1489043,0
129,1489046,0
1,1489481,65280
1,1490033,65317
1,1490034,65535
129,1490035,56
129,1490038,77
129,1490041,35
129,1490044,0
129,1490047,0
1,1490483,65280
1,1491035,65535
129,1491037,57
129,1491040,77
129,1491043,35
129,1491046,0
129,1491049,0
1,1491484,65317
1,1491485,65280
1,1492036,65316
1,1492037,65535
129,1492038,58
129,1492041,77
129,1492044,35
129,1492047,0
129,1492050,0
1,1492486,65280
1,1493038,65535
129,1493040,59
129,1493043,77
129,1493046,35
129,1493049,0
129,1493052,0
1,1493488,65280
1,1494040,65535
129,1494041,60
129,1494044,77
129,1494047,35
129,1494050,0
129,1494053,0
1,1494489,65280
1,1495041,65535
129,1495043,61
129,1495046,77
129,1495049,35
129,1495052,0
129,1495055,0
1,1495491,65280
1,1496043,65535
129,1496045,62
129,1496048,77
129,1496051,35
129,1496054,0
129,1496057,0
1,1496492,65280
1,1497044,65444
1,1497045,65535
129,1497046,63
129,1497049,77
129,1497052,35
129,1497055,0
129,1497058,0
1,1497494,65280
1,1498046,65535
129,1498048,64
129,1498051,77
129,1498054,35
129,1498057,0
129,1498060,0
1,1498495,65533
1,1498496,65280
1,1499047,65316
1,1499048,65535
129,1499049,65
129,1499052,77
129,1499055,35
129,1499058,0
129,1499061,0
1,1499497,65280
1,1500049,65535
129,1500051,66
129,1500054,77
129,1500057,35
129,1500060,0
129,1500063,0
1,1500498,65383
1,1500499,65280
1,1501051,65535
129,1501052,67
129,1501058,35
129,1501064,0
1,1501500,65280
1,1502052,65455
1,1502053,65535
129,1502054,68
129,1502057,77
129,1502060,35
129,1502063,0
129,1502066,0
1,1502502,65280
1,1503054,65535
129,1503056,69
129,1503059,77
129,1503062,35
129,1503065,0
129,1503068,0
1,1503503,65280
1,1504055,65455
1,1504056,65535
129,1504057,70
129,1504060,77
129,1504063,35
129,1504066,0
129,1504069,0
1,1504505,65280
1,1505056,65317
1,1505057,65535
129,1505058,71
129,1505061,77
129,1505064,35
129,1505067,0
129,1505070,0
1,1505506,65280
1,1506058,65535
129,1506060,72
129,1506063,77
129,1506066,35
129,1506069,0
129,1506072,0
1,1506507,65333
1,1506508,65280
1,1507059,65281
1,1507060,65535
129,1507061,73
129,1507064,77
129,1507067,35
129,1507070,0
129,1507073,0
1,1507509,65280
1,1508061,65535
129,1508063,74
129,1508066,77
129,1508069,35
129,1508072,0
129,1508075,0
1,1508510,65533
1,1508511,65280
1,1509063,65535
129,1509064,75
129,1509067,77
129,1509070,35
129,1509073,0
129,1509076,0
1,1509512,65280
1,1510064,65519
1,1510065,65535
129,1510066,76
129,1510069,77
129,1510072,35
129,1510075,0
129,1510078,0
1,1510514,65280
1,1511066,65535
129,1511068,77
129,1511071,77
129,1511074,35
129,1511077,0
129,1511080,0
1,1511515,65312
1,1511516,65280
1,1512067,65319
1,1512068,65535
129,1512069,78
129,1512072,77
129,1512075,35
129,1512078,0
129,1512081,0
1,1512517,65280
1,1513069,65535
129,1513071,79
129,1513074,77
129,1513077,35
129,1513080,0
129,1513083,0
1,1513518,65285
1,1513519,65280
1,1514070,65317
1,1514071,65535
129,1514072,80
129,1514075,77
129,1514078,35
129,1514081,0
129,1514084,0
1,1514520,65280
1,1515072,65535
129,1515074,81
129,1515077,77
129,1515080,35
129,1515083,0
129,1515086,0
1,1515521,65349
1,1515522,65280
1,1516073,65281
1,1516074,65535
129,1516075,82
129,1516078,77
129,1516081,35
129,1516084,0
129,1516087,0
1,1516523,65280
1,1517075,65535
129,1517077,83
129,1517080,77
129,1517083,35
129,1517086,0
129,1517089,0
1,1517524,65453
1,1517525,65280
1,1518076,65312
1,1518077,65535
129,1518078,84
129,1518081,77
129,1518084,35
129,1518087,0
129,1518090,0
1,1518526,65280
1,1519078,65447
1,1519079,65535
129,1519080,85
129,1519083,77
129,1519086,35
129,1519089,0
129,1519092,0
1,1519527,65407
1,1519528,65280
1,1520080,65535
129,1520082,86
129,1520085,77
129,1520088,35
129,1520091,0
129,1520094,0
1,1520529,65285
1,1520530,65280
1,1521081,65535
129,1521083,87
129,1521086,77
129,1521089,35
129,1521092,0
129,1521095,0
1,1521530,65317
1,1521531,65280
1,1522082,65471
1,1522083,65535
129,1522084,88
129,1522087,77
129,1522090,35
129,1522093,0
129,1522096,0
1,1522532,65280
1,1523084,65535
129,1523086,89
129,1523089,77
129,1523092,35
129,1523095,0
129,1523098,0
1,1523533,65281
1,1523534,65280
1,1524085,65455
1,1524086,65535
129,1524087,90
129,1524090,77
129,1524093,35
129,1524096,0
129,1524099,0
1,1524535,65280
1,1525087,65535
129,1525089,91
129,1525092,77
129,1525095,35
129,1525098,0
129,1525101,0
1,1525536,65313
1,1525537,65280
1,1526088,65315
1,1526089,65535
129,1526090,92
129,1526093,77
129,1526096,35
129,1526099,0
129,1526102,0
1,1526538,65280
1,1527090,65535
129,1527092,93
129,1527095,77
129,1527098,35
129,1527101,0
129,1527104,0
1,1527539,65317
1,1527540,65280
1,1528091,65284
1,1528092,65535
129,1528093,94
129,1528096,77
129,1528099,35
129,1528102,0
129,1528105,0
1,1528541,65280
1,1529093,65519
1,1529094,65535
129,1529095,95
129,1529098,77
129,1529101,35
129,1529104,0
129,1529107,0
1,1529542,65533
1,1529543,65280
1,1530095,65535
129,1530097,96
129,1530100,77
129,1530103,35
129,1530106,0
129,1530109,0
1,1530544,65281
1,1530545,65280
1,1531096,65447
1,1531097,65535
129,1531098,97
129,1531101,77
129,1531104,35
129,1531107,0
129,1531110,0
1,1531546,65280
1,1532098,65535
129,1532100,98
129,1532103,77
129,1532106,35
129,1532109,0
129,1532112,0
1,1532547,65280
1,1533099,65319
1,1533100,65535
129,1533101,99
129,1533104,77
129,1533107,35
129,1533110,0
129,1533113,0
1,1533549,65280
1,1534101,65535
129,1534103,100
129,1534106,77
129,1534109,35
129,1534112,0
129,1534115,0
1,1534550,65316
1,1534551,65280
1,1535102,65444
1,1535103,65535
129,1535104,101
129,1535107,77
129,1535110,35
129,1535113,0
129,1535116,0
1,1535552,65280
1,1536104,65535
129,1536106,102
129,1536109,77
129,1536112,35
129,1536115,0
129,1536118,0
1,1536553,65280
1,1537105,65455
1,1537106,65535
129,1537107,103
129,1537110,77
129,1537113,35
129,1537116,0
129,1537119,0
1,1537555,65280
1,1538107,65535
129,1538109,104
129,1538112,77
129,1538115,35
129,1538118,0
129,1538121,0
1,1538556,65284
1,1538557,65280
1,1539108,65453
1,1539109,65535
129,1539110,105
129,1539113,77
129,1539116,35
129,1539119,0
129,1539122,0
1,1539558,65280
1,1540110,65535
129,1540112,106
129,1540115,77
129,1540118,35
129,1540121,0
129,1540124,0
1,1540559,65301
1,1540560,65280
1,1541111,65284
1,1541112,65535
129,1541113,107
129,1541116,77
129,1541119,35
129,1541122,0
129,1541125,0
1,1541561,65280
1,1542113,65535
129,1542115,108
129,1542118,77
129,1542121,35
129,1542124,0
129,1542127,0
1,1542562,65381
1,1542563,65280
1,1543114,65313
1,1543115,65535
129,1543117,109
129,1543120,77
129,1543123,35
129,1543126,0
129,1543129,0
1,1543564,65280
1,1544116,65535
129,1544118,110
129,1544121,77
129,1544124,35
129,1544127,0
129,1544130,0
1,1544565,65284
1,1544566,65280
1,1545117,65319
1,1545118,65535
129,1545119,111
129,1545122,77
129,1545125,35
129,1545128,0
129,1545131,0
1,1545567,65280
1,1546119,65535
129,1546121,112
129,1546124,77
129,1546127,35
129,1546130,0
129,1546133,0
1,1546568,65317
1,1546569,65280
1,1547120,65471
1,1547121,65535
129,1547122,113
129,1547125,77
129,1547128,35
129,1547131,0
129,1547134,0
1,1547569,65533
1,1547570,65280
1,1548122,65535
129,1548124,114
129,1548127,77
129,1548130,35
129,1548133,0
129,1548136,0
1,1548571,65280
1,1549123,65327
1,1549124,65535
129,1549125,115
129,1549128,77
129,1549131,35
129,1549134,0
129,1549137,0
1,1549573,65280
1,1550125,65535
129,1550127,116
129,1550130,77
129,1550133,35
129,1550136,0
129,1550139,0
1,1550574,65281
1,1550575,65280
1,1551126,65447
1,1551127,65535
129,1551128,117
129,1551131,77
129,1551134,35
129,1551137,0
129,1551140,0
1,1551576,65280
1,1552128,65535
129,1552130,118
129,1552133,77
129,1552136,35
129,1552139,0
129,1552142,0
1,1552577,65469
1,1552578,65280
1,1553129,65312
1,1553130,65535
129,1553131,119
129,1553134,77
129,1553137,35
129,1553140,0
129,1553143,0
1,1553579,65280
1,1554131,65471
1,1554132,65535
129,1554133,120
129,1554136,77
129,1554139,35
129,1554142,0
129,1554145,0
1,1554580,65389
1,1554581,65280
1,1555133,65535
129,1555134,121
129,1555140,35
129,1555143,0
129,1555146,0
1,1555582,65280
1,1556134,65511
1,1556135,65535
129,1556136,122
129,1556139,77
129,1556142,35
129,1556145,0
129,1556148,0
1,1556584,65280
1,1557136,65535
129,1557138,123
129,1557141,77
129,1557144,35
129,1557147,0
129,1557150,0
